標準報酬_等級,標準報酬_月額,報酬月額_以上,報酬月額_未満,介護保険の被保険者でない場合_全額,介護保険の被保険者でない場合_折半額,介護保険の被保険者でない場合_控除額,介護保険の被保険者の場合_全額,介護保険の被保険者の場合_折半額,介護保険の被保険者の場合_控除額
1,58000,,63000.0,5742.0,2871.0,2871,6745.4,3372.7,3373
2,68000,63000.0,73000.0,6732.0,3366.0,3366,7908.4,3954.2,3954
3,78000,73000.0,83000.0,7722.0,3861.0,3861,9071.4,4535.7,4536
4,88000,83000.0,93000.0,8712.0,4356.0,4356,10234.4,5117.2,5117
5,98000,93000.0,101000.0,9702.0,4851.0,4851,11397.4,5698.7,5699
6,104000,101000.0,107000.0,10296.0,5148.0,5148,12095.2,6047.6,6048
7,110000,107000.0,114000.0,10890.0,5445.0,5445,12793.0,6396.5,6396
8,118000,114000.0,122000.0,11682.0,5841.0,5841,13723.4,6861.7,6862
9,126000,122000.0,130000.0,12474.0,6237.0,6237,14653.8,7326.9,7327
10,134000,130000.0,138000.0,13266.0,6633.0,6633,15584.2,7792.1,7792
11,142000,138000.0,146000.0,14058.0,7029.0,7029,16514.6,8257.3,8257
12,150000,146000.0,155000.0,14850.0,7425.0,7425,17445.0,8722.5,8722
13,160000,155000.0,165000.0,15840.0,7920.0,7920,18608.0,9304.0,9304
14,170000,165000.0,175000.0,16830.0,8415.0,8415,19771.0,9885.5,9885
15,180000,175000.0,185000.0,17820.0,8910.0,8910,20934.0,10467.0,10467
16,190000,185000.0,195000.0,18810.0,9405.0,9405,22097.0,11048.5,11048
17,200000,195000.0,210000.0,19800.0,9900.0,9900,23260.0,11630.0,11630
18,220000,210000.0,230000.0,21780.0,10890.0,10890,25586.0,12793.0,12793
19,240000,230000.0,250000.0,23760.0,11880.0,11880,27912.0,13956.0,13956
20,260000,250000.0,270000.0,25740.0,12870.0,12870,30238.0,15119.0,15119
21,280000,270000.0,290000.0,27720.0,13860.0,13860,32564.0,16282.0,16282
22,300000,290000.0,310000.0,29700.0,14850.0,14850,34890.0,17445.0,17445
23,320000,310000.0,330000.0,31680.0,15840.0,15840,37216.0,18608.0,18608
24,340000,330000.0,350000.0,33660.0,16830.0,16830,39542.0,19771.0,19771
25,360000,350000.0,370000.0,35640.0,17820.0,17820,41868.0,20934.0,20934
26,380000,370000.0,395000.0,37620.0,18810.0,18810,44194.0,22097.0,22097
27,410000,395000.0,425000.0,40590.0,20295.0,20295,47683.0,23841.5,23841
28,440000,425000.0,455000.0,43560.0,21780.0,21780,51172.0,25586.0,25586
29,470000,455000.0,485000.0,46530.0,23265.0,23265,54661.0,27330.5,27330
30,500000,485000.0,515000.0,49500.0,24750.0,24750,58150.0,29075.0,29075
31,530000,515000.0,545000.0,52470.0,26235.0,26235,61639.0,30819.5,30819
32,560000,545000.0,575000.0,55440.0,27720.0,27720,65128.0,32564.0,32564
33,590000,575000.0,605000.0,58410.0,29205.0,29205,68617.0,34308.5,34308
34,620000,605000.0,635000.0,61380.0,30690.0,30690,72106.0,36053.0,36053
35,650000,635000.0,665000.0,64350.0,32175.0,32175,75595.0,37797.5,37797
36,680000,665000.0,695000.0,67320.0,33660.0,33660,79084.0,39542.0,39542
37,710000,695000.0,730000.0,70290.0,35145.0,35145,82573.0,41286.5,41286
38,750000,730000.0,770000.0,74250.0,37125.0,37125,87225.0,43612.5,43612
39,790000,770000.0,810000.0,78210.0,39105.0,39105,91877.0,45938.5,45938
40,830000,810000.0,855000.0,82170.0,41085.0,41085,96529.0,48264.5,48264
41,880000,855000.0,905000.0,87120.0,43560.0,43560,102344.0,51172.0,51172
42,930000,905000.0,955000.0,92070.0,46035.0,46035,108159.0,54079.5,54079
43,980000,955000.0,1005000.0,97020.0,48510.0,48510,113974.0,56987.0,56987
44,1030000,1005000.0,1055000.0,101970.0,50985.0,50985,119789.0,59894.5,59894
45,1090000,1055000.0,1115000.0,107910.0,53955.0,53955,126767.0,63383.5,63383
46,1150000,1115000.0,1175000.0,113850.0,56925.0,56925,133745.0,66872.5,66872
47,1210000,1175000.0,1235000.0,119790.0,59895.0,59895,140723.0,70361.5,70361
48,1270000,1235000.0,1295000.0,125730.0,62865.0,62865,147701.0,73850.5,73850
49,1330000,1295000.0,1355000.0,131670.0,65835.0,65835,154679.0,77339.5,77339
50,1390000,1355000.0,,137610.0,68805.0,68805,161657.0,80828.5,80828
