標準報酬_等級,標準報酬_月額,報酬月額_以上,報酬月額_未満,介護保険の被保険者でない場合_全額,介護保険の被保険者でない場合_折半額,介護保険の被保険者でない場合_控除額,介護保険の被保険者の場合_全額,介護保険の被保険者の場合_折半額,介護保険の被保険者の場合_控除額
1,58000,,63000.0,5724.6,2862.3,2862,6762.8,3381.4,3381
2,68000,63000.0,73000.0,6711.6,3355.8,3356,7928.8,3964.4,3964
3,78000,73000.0,83000.0,7698.6,3849.3,3849,9094.8,4547.4,4547
4,88000,83000.0,93000.0,8685.6,4342.8,4343,10260.8,5130.4,5130
5,98000,93000.0,101000.0,9672.6,4836.3,4836,11426.8,5713.4,5713
6,104000,101000.0,107000.0,10264.8,5132.4,5132,12126.4,6063.2,6063
7,110000,107000.0,114000.0,10857.0,5428.5,5428,12826.0,6413.0,6413
8,118000,114000.0,122000.0,11646.6,5823.3,5823,13758.8,6879.4,6879
9,126000,122000.0,130000.0,12436.2,6218.1,6218,14691.6,7345.8,7346
10,134000,130000.0,138000.0,13225.8,6612.9,6613,15624.4,7812.2,7812
11,142000,138000.0,146000.0,14015.4,7007.7,7008,16557.2,8278.6,8279
12,150000,146000.0,155000.0,14805.0,7402.5,7402,17490.0,8745.0,8745
13,160000,155000.0,165000.0,15792.0,7896.0,7896,18656.0,9328.0,9328
14,170000,165000.0,175000.0,16779.0,8389.5,8389,19822.0,9911.0,9911
15,180000,175000.0,185000.0,17766.0,8883.0,8883,20988.0,10494.0,10494
16,190000,185000.0,195000.0,18753.0,9376.5,9376,22154.0,11077.0,11077
17,200000,195000.0,210000.0,19740.0,9870.0,9870,23320.0,11660.0,11660
18,220000,210000.0,230000.0,21714.0,10857.0,10857,25652.0,12826.0,12826
19,240000,230000.0,250000.0,23688.0,11844.0,11844,27984.0,13992.0,13992
20,260000,250000.0,270000.0,25662.0,12831.0,12831,30316.0,15158.0,15158
21,280000,270000.0,290000.0,27636.0,13818.0,13818,32648.0,16324.0,16324
22,300000,290000.0,310000.0,29610.0,14805.0,14805,34980.0,17490.0,17490
23,320000,310000.0,330000.0,31584.0,15792.0,15792,37312.0,18656.0,18656
24,340000,330000.0,350000.0,33558.0,16779.0,16779,39644.0,19822.0,19822
25,360000,350000.0,370000.0,35532.0,17766.0,17766,41976.0,20988.0,20988
26,380000,370000.0,395000.0,37506.0,18753.0,18753,44308.0,22154.0,22154
27,410000,395000.0,425000.0,40467.0,20233.5,20233,47806.0,23903.0,23903
28,440000,425000.0,455000.0,43428.0,21714.0,21714,51304.0,25652.0,25652
29,470000,455000.0,485000.0,46389.0,23194.5,23194,54802.0,27401.0,27401
30,500000,485000.0,515000.0,49350.0,24675.0,24675,58300.0,29150.0,29150
31,530000,515000.0,545000.0,52311.0,26155.5,26155,61798.0,30899.0,30899
32,560000,545000.0,575000.0,55272.0,27636.0,27636,65296.0,32648.0,32648
33,590000,575000.0,605000.0,58233.0,29116.5,29116,68794.0,34397.0,34397
34,620000,605000.0,635000.0,61194.0,30597.0,30597,72292.0,36146.0,36146
35,650000,635000.0,665000.0,64155.0,32077.5,32077,75790.0,37895.0,37895
36,680000,665000.0,695000.0,67116.0,33558.0,33558,79288.0,39644.0,39644
37,710000,695000.0,730000.0,70077.0,35038.5,35038,82786.0,41393.0,41393
38,750000,730000.0,770000.0,74025.0,37012.5,37012,87450.0,43725.0,43725
39,790000,770000.0,810000.0,77973.0,38986.5,38986,92114.0,46057.0,46057
40,830000,810000.0,855000.0,81921.0,40960.5,40960,96778.0,48389.0,48389
41,880000,855000.0,905000.0,86856.0,43428.0,43428,102608.0,51304.0,51304
42,930000,905000.0,955000.0,91791.0,45895.5,45895,108438.0,54219.0,54219
43,980000,955000.0,1005000.0,96726.0,48363.0,48363,114268.0,57134.0,57134
44,1030000,1005000.0,1055000.0,101661.0,50830.5,50830,120098.0,60049.0,60049
45,1090000,1055000.0,1115000.0,107583.0,53791.5,53791,127094.0,63547.0,63547
46,1150000,1115000.0,1175000.0,113505.0,56752.5,56752,134090.0,67045.0,67045
47,1210000,1175000.0,1235000.0,119427.0,59713.5,59713,141086.0,70543.0,70543
48,1270000,1235000.0,1295000.0,125349.0,62674.5,62674,148082.0,74041.0,74041
49,1330000,1295000.0,1355000.0,131271.0,65635.5,65635,155078.0,77539.0,77539
50,1390000,1355000.0,,137193.0,68596.5,68596,162074.0,81037.0,81037
