標準報酬_等級,標準報酬_月額,報酬月額_以上,報酬月額_未満,介護保険の被保険者でない場合_全額,介護保険の被保険者でない場合_折半額,介護保険の被保険者でない場合_控除額,介護保険の被保険者の場合_全額,介護保険の被保険者の場合_折半額,介護保険の被保険者の場合_控除額
1,58000,,63000.0,5788.4,2894.2,2894,6716.4,3358.2,3358
2,68000,63000.0,73000.0,6786.4,3393.2,3393,7874.4,3937.2,3937
3,78000,73000.0,83000.0,7784.4,3892.2,3892,9032.4,4516.2,4516
4,88000,83000.0,93000.0,8782.4,4391.2,4391,10190.4,5095.2,5095
5,98000,93000.0,101000.0,9780.4,4890.2,4890,11348.4,5674.2,5674
6,104000,101000.0,107000.0,10379.2,5189.6,5190,12043.2,6021.6,6022
7,110000,107000.0,114000.0,10978.0,5489.0,5489,12738.0,6369.0,6369
8,118000,114000.0,122000.0,11776.4,5888.2,5888,13664.4,6832.2,6832
9,126000,122000.0,130000.0,12574.8,6287.4,6287,14590.8,7295.4,7295
10,134000,130000.0,138000.0,13373.2,6686.6,6687,15517.2,7758.6,7759
11,142000,138000.0,146000.0,14171.6,7085.8,7086,16443.6,8221.8,8222
12,150000,146000.0,155000.0,14970.0,7485.0,7485,17370.0,8685.0,8685
13,160000,155000.0,165000.0,15968.0,7984.0,7984,18528.0,9264.0,9264
14,170000,165000.0,175000.0,16966.0,8483.0,8483,19686.0,9843.0,9843
15,180000,175000.0,185000.0,17964.0,8982.0,8982,20844.0,10422.0,10422
16,190000,185000.0,195000.0,18962.0,9481.0,9481,22002.0,11001.0,11001
17,200000,195000.0,210000.0,19960.0,9980.0,9980,23160.0,11580.0,11580
18,220000,210000.0,230000.0,21956.0,10978.0,10978,25476.0,12738.0,12738
19,240000,230000.0,250000.0,23952.0,11976.0,11976,27792.0,13896.0,13896
20,260000,250000.0,270000.0,25948.0,12974.0,12974,30108.0,15054.0,15054
21,280000,270000.0,290000.0,27944.0,13972.0,13972,32424.0,16212.0,16212
22,300000,290000.0,310000.0,29940.0,14970.0,14970,34740.0,17370.0,17370
23,320000,310000.0,330000.0,31936.0,15968.0,15968,37056.0,18528.0,18528
24,340000,330000.0,350000.0,33932.0,16966.0,16966,39372.0,19686.0,19686
25,360000,350000.0,370000.0,35928.0,17964.0,17964,41688.0,20844.0,20844
26,380000,370000.0,395000.0,37924.0,18962.0,18962,44004.0,22002.0,22002
27,410000,395000.0,425000.0,40918.0,20459.0,20459,47478.0,23739.0,23739
28,440000,425000.0,455000.0,43912.0,21956.0,21956,50952.0,25476.0,25476
29,470000,455000.0,485000.0,46906.0,23453.0,23453,54426.0,27213.0,27213
30,500000,485000.0,515000.0,49900.0,24950.0,24950,57900.0,28950.0,28950
31,530000,515000.0,545000.0,52894.0,26447.0,26447,61374.0,30687.0,30687
32,560000,545000.0,575000.0,55888.0,27944.0,27944,64848.0,32424.0,32424
33,590000,575000.0,605000.0,58882.0,29441.0,29441,68322.0,34161.0,34161
34,620000,605000.0,635000.0,61876.0,30938.0,30938,71796.0,35898.0,35898
35,650000,635000.0,665000.0,64870.0,32435.0,32435,75270.0,37635.0,37635
36,680000,665000.0,695000.0,67864.0,33932.0,33932,78744.0,39372.0,39372
37,710000,695000.0,730000.0,70858.0,35429.0,35429,82218.0,41109.0,41109
38,750000,730000.0,770000.0,74850.0,37425.0,37425,86850.0,43425.0,43425
39,790000,770000.0,810000.0,78842.0,39421.0,39421,91482.0,45741.0,45741
40,830000,810000.0,855000.0,82834.0,41417.0,41417,96114.0,48057.0,48057
41,880000,855000.0,905000.0,87824.0,43912.0,43912,101904.0,50952.0,50952
42,930000,905000.0,955000.0,92814.0,46407.0,46407,107694.0,53847.0,53847
43,980000,955000.0,1005000.0,97804.0,48902.0,48902,113484.0,56742.0,56742
44,1030000,1005000.0,1055000.0,102794.0,51397.0,51397,119274.0,59637.0,59637
45,1090000,1055000.0,1115000.0,108782.0,54391.0,54391,126222.0,63111.0,63111
46,1150000,1115000.0,1175000.0,114770.0,57385.0,57385,133170.0,66585.0,66585
47,1210000,1175000.0,1235000.0,120758.0,60379.0,60379,140118.0,70059.0,70059
48,1270000,1235000.0,1295000.0,126746.0,63373.0,63373,147066.0,73533.0,73533
49,1330000,1295000.0,1355000.0,132734.0,66367.0,66367,154014.0,77007.0,77007
50,1390000,1355000.0,,138722.0,69361.0,69361,160962.0,80481.0,80481
